snapshot_date,sku,warehouse,on_hand_units,unit_cost_vnd,inventory_value_vnd,used_cbm,inventory_type,lot_number,expiry_date
2024-06-28,SKU-1000,WH-001,145,21072.0,3055440.0,10.367,Raw Material,LOT-57534,2024-08-03
2024-06-28,SKU-1001,WH-001,1405,29611.0,41603455.0,94.416,Raw Material,LOT-68824,2026-05-31
2024-06-28,SKU-1002,WH-001,566,31268.0,17697688.0,33.168,Third-Party Storage,LOT-49880,2025-05-28
2024-06-28,SKU-1003,WH-001,361,12328.0,4450408.0,8.592,Finished Goods,LOT-11775,2024-09-04
2024-06-28,SKU-1005,WH-001,700,9334.0,6533800.0,15.82,Finished Goods,LOT-39674,2024-12-28
2024-06-28,SKU-1006,WH-001,1852,11838.0,21923976.0,73.154,Raw Material,LOT-17089,2024-09-14
2024-06-28,SKU-1007,WH-001,1049,7650.0,8024850.0,50.877,Finished Goods,LOT-38295,2025-02-22
2024-06-28,SKU-1009,WH-001,1282,11325.0,14518650.0,47.819,Raw Material,LOT-48652,2024-10-27
2024-06-28,SKU-1010,WH-001,1577,7037.0,11097349.0,105.974,Finished Goods,LOT-84341,2024-08-07
2024-06-28,SKU-1011,WH-001,2866,11753.0,33684098.0,155.051,Raw Material,LOT-86860,2024-09-02
2024-06-28,SKU-1012,WH-001,411,11827.0,4860897.0,22.153,Raw Material,LOT-74350,2025-04-29
2024-06-28,SKU-1013,WH-001,1263,27592.0,34848696.0,48.247,Third-Party Storage,LOT-73465,2024-12-02
2024-06-28,SKU-1014,WH-001,2805,9043.0,25365615.0,199.716,Finished Goods,LOT-38386,2026-02-26
2024-06-28,SKU-1016,WH-001,1178,9032.0,10639696.0,81.046,Third-Party Storage,LOT-29771,2024-12-12
2024-06-28,SKU-1017,WH-001,1971,23057.0,45445347.0,94.017,Finished Goods,LOT-50823,2025-08-03
2024-06-28,SKU-1018,WH-001,124,10482.0,1299768.0,5.803,Finished Goods,LOT-49673,2024-08-02
2024-06-28,SKU-1022,WH-001,960,19417.0,18640320.0,36.864,Third-Party Storage,LOT-38777,2025-01-19
2024-06-28,SKU-1023,WH-001,1368,13551.0,18537768.0,86.458,Raw Material,LOT-13598,2024-08-22
2024-06-28,SKU-1024,WH-001,214,22549.0,4825486.0,5.371,Third-Party Storage,LOT-77789,2024-11-12
2024-06-28,SKU-1025,WH-001,2032,20309.0,41267888.0,58.318,Third-Party Storage,LOT-37161,2024-09-04
2024-06-28,SKU-1026,WH-001,2342,11626.0,27228092.0,128.576,Finished Goods,LOT-27256,2024-08-15
2024-06-28,SKU-1027,WH-001,1532,14751.0,22598532.0,74.915,Finished Goods,LOT-59495,2024-08-14
2024-06-28,SKU-1028,WH-001,2182,11944.0,26061808.0,166.487,Third-Party Storage,LOT-95811,2025-03-31
2024-06-28,SKU-1029,WH-001,613,8658.0,5307354.0,31.386,Finished Goods,LOT-55817,2024-08-25
2024-06-28,SKU-1000,WH-002,1190,21072.0,25075680.0,85.085,Raw Material,LOT-22273,2024-08-11
2024-06-28,SKU-1001,WH-002,601,29611.0,17796211.0,40.387,Raw Material,LOT-79395,2025-03-27
2024-06-28,SKU-1002,WH-002,2409,31268.0,75324612.0,141.167,Third-Party Storage,LOT-25796,2025-02-14
2024-06-28,SKU-1003,WH-002,1264,12328.0,15582592.0,30.083,Finished Goods,LOT-71642,2024-08-16
2024-06-28,SKU-1005,WH-002,1052,9334.0,9819368.0,23.775,Finished Goods,LOT-87415,2025-06-02
2024-06-28,SKU-1006,WH-002,2376,11838.0,28127088.0,93.852,Raw Material,LOT-98988,2024-08-29
2024-06-28,SKU-1007,WH-002,2839,7650.0,21718350.0,137.691,Finished Goods,LOT-43117,2025-02-14
2024-06-28,SKU-1009,WH-002,2295,11325.0,25990875.0,85.603,Raw Material,LOT-87528,2024-08-30
2024-06-28,SKU-1010,WH-002,1573,7037.0,11069201.0,105.706,Finished Goods,LOT-88514,2024-08-02
2024-06-28,SKU-1011,WH-002,1346,11753.0,15819538.0,72.819,Raw Material,LOT-68659,2024-09-19
2024-06-28,SKU-1012,WH-002,1759,11827.0,20803693.0,94.81,Raw Material,LOT-53086,2024-11-17
2024-06-28,SKU-1013,WH-002,709,27592.0,19562728.0,27.084,Third-Party Storage,LOT-85790,2024-10-18
2024-06-28,SKU-1014,WH-002,1227,9043.0,11095761.0,87.362,Finished Goods,LOT-89055,2025-03-27
2024-06-28,SKU-1016,WH-002,257,9032.0,2321224.0,17.682,Third-Party Storage,LOT-67258,2024-10-08
2024-06-28,SKU-1017,WH-002,2628,23057.0,60593796.0,125.356,Finished Goods,LOT-33573,2026-05-19
2024-06-28,SKU-1018,WH-002,1732,10482.0,18154824.0,81.058,Finished Goods,LOT-36753,2024-09-22
2024-06-28,SKU-1022,WH-002,511,19417.0,9922087.0,19.622,Third-Party Storage,LOT-94832,2025-06-24
2024-06-28,SKU-1023,WH-002,1856,13551.0,25150656.0,117.299,Raw Material,LOT-13414,2024-12-16
2024-06-28,SKU-1024,WH-002,794,22549.0,17903906.0,19.929,Third-Party Storage,LOT-93288,2025-08-17
2024-06-28,SKU-1025,WH-002,1319,20309.0,26787571.0,37.855,Third-Party Storage,LOT-96422,2024-08-26
2024-06-28,SKU-1026,WH-002,100,11626.0,1162600.0,5.49,Finished Goods,LOT-33468,2024-09-20
2024-06-28,SKU-1027,WH-002,564,14751.0,8319564.0,27.58,Finished Goods,LOT-23881,2024-08-08
2024-06-28,SKU-1028,WH-002,2952,11944.0,35258688.0,225.238,Third-Party Storage,LOT-31163,2024-09-01
2024-06-28,SKU-1029,WH-002,581,8658.0,5030298.0,29.747,Finished Goods,LOT-56950,2024-11-26
2024-06-28,SKU-1000,WH-003,947,21072.0,19955184.0,67.71,Raw Material,LOT-39906,2024-08-08
2024-06-28,SKU-1001,WH-003,1862,29611.0,55135682.0,125.126,Raw Material,LOT-36626,2025-07-16
2024-06-28,SKU-1002,WH-003,429,31268.0,13413972.0,25.139,Third-Party Storage,LOT-14472,2025-03-02
2024-06-28,SKU-1003,WH-003,1393,12328.0,17172904.0,33.153,Finished Goods,LOT-48532,2024-10-12
2024-06-28,SKU-1005,WH-003,2045,9334.0,19088030.0,46.217,Finished Goods,LOT-58665,2025-01-09
2024-06-28,SKU-1006,WH-003,1036,11838.0,12264168.0,40.922,Raw Material,LOT-93122,2024-09-16
2024-06-28,SKU-1007,WH-003,564,7650.0,4314600.0,27.354,Finished Goods,LOT-21678,2024-11-21
2024-06-28,SKU-1009,WH-003,1816,11325.0,20566200.0,67.737,Raw Material,LOT-16597,2024-12-28
2024-06-28,SKU-1010,WH-003,2087,7037.0,14686219.0,140.246,Finished Goods,LOT-73078,2024-10-30
2024-06-28,SKU-1011,WH-003,2473,11753.0,29065169.0,133.789,Raw Material,LOT-97844,2024-08-13
2024-06-28,SKU-1012,WH-003,1510,11827.0,17858770.0,81.389,Raw Material,LOT-44672,2024-08-08
2024-06-28,SKU-1013,WH-003,2234,27592.0,61640528.0,85.339,Third-Party Storage,LOT-89714,2024-10-03
2024-06-28,SKU-1014,WH-003,1125,9043.0,10173375.0,80.1,Finished Goods,LOT-37350,2025-02-15
2024-06-28,SKU-1016,WH-003,1932,9032.0,17449824.0,132.922,Third-Party Storage,LOT-81969,2024-12-05
2024-06-28,SKU-1017,WH-003,2892,23057.0,66680844.0,137.948,Finished Goods,LOT-51952,2025-04-12
2024-06-28,SKU-1018,WH-003,555,10482.0,5817510.0,25.974,Finished Goods,LOT-75094,2024-09-16
2024-06-28,SKU-1022,WH-003,1129,19417.0,21921793.0,43.354,Third-Party Storage,LOT-30762,2025-04-04
2024-06-28,SKU-1023,WH-003,2385,13551.0,32319135.0,150.732,Raw Material,LOT-98633,2024-11-19
2024-06-28,SKU-1024,WH-003,2359,22549.0,53193091.0,59.211,Third-Party Storage,LOT-49312,2025-02-04
2024-06-28,SKU-1025,WH-003,2386,20309.0,48457274.0,68.478,Third-Party Storage,LOT-37753,2024-09-18
2024-06-28,SKU-1026,WH-003,475,11626.0,5522350.0,26.077,Finished Goods,LOT-13256,2025-05-07
2024-06-28,SKU-1027,WH-003,622,14751.0,9175122.0,30.416,Finished Goods,LOT-21349,2024-08-23
2024-06-28,SKU-1028,WH-003,448,11944.0,5350912.0,34.182,Third-Party Storage,LOT-68242,2024-08-06
2024-06-28,SKU-1029,WH-003,2524,8658.0,21852792.0,129.229,Finished Goods,LOT-80780,2024-12-08
2024-06-28,SKU-1000,WH-004,2106,21072.0,44377632.0,150.579,Raw Material,LOT-44315,2024-08-31
2024-06-28,SKU-1001,WH-004,397,29611.0,11755567.0,26.678,Raw Material,LOT-86454,2025-04-14
2024-06-28,SKU-1002,WH-004,2248,31268.0,70290464.0,131.733,Third-Party Storage,LOT-13737,2024-10-15
2024-06-28,SKU-1003,WH-004,2507,12328.0,30906296.0,59.667,Finished Goods,LOT-23899,2024-12-15
2024-06-28,SKU-1005,WH-004,2556,9334.0,23857704.0,57.766,Finished Goods,LOT-15114,2025-02-07
2024-06-28,SKU-1006,WH-004,1519,11838.0,17981922.0,60.001,Raw Material,LOT-63078,2024-08-08
2024-06-28,SKU-1007,WH-004,1737,7650.0,13288050.0,84.245,Finished Goods,LOT-92899,2024-10-17
2024-06-28,SKU-1009,WH-004,1055,11325.0,11947875.0,39.352,Raw Material,LOT-34118,2024-12-08
2024-06-28,SKU-1010,WH-004,1146,7037.0,8064402.0,77.011,Finished Goods,LOT-94239,2024-09-21
2024-06-28,SKU-1011,WH-004,2559,11753.0,30075927.0,138.442,Raw Material,LOT-41415,2024-09-03
2024-06-28,SKU-1012,WH-004,1149,11827.0,13589223.0,61.931,Raw Material,LOT-25741,2025-02-06
2024-06-28,SKU-1013,WH-004,2753,27592.0,75960776.0,105.165,Third-Party Storage,LOT-36813,2024-08-05
2024-06-28,SKU-1014,WH-004,2921,9043.0,26414603.0,207.975,Finished Goods,LOT-55318,2025-07-05
2024-06-28,SKU-1016,WH-004,2452,9032.0,22146464.0,168.698,Third-Party Storage,LOT-49268,2024-11-22
2024-06-28,SKU-1017,WH-004,1022,23057.0,23564254.0,48.749,Finished Goods,LOT-10079,2026-03-06
2024-06-28,SKU-1018,WH-004,1236,10482.0,12955752.0,57.845,Finished Goods,LOT-66357,2024-09-04
2024-06-28,SKU-1022,WH-004,1456,19417.0,28271152.0,55.91,Third-Party Storage,LOT-58191,2024-12-07
2024-06-28,SKU-1023,WH-004,1801,13551.0,24405351.0,113.823,Raw Material,LOT-48012,2024-12-24
2024-06-28,SKU-1024,WH-004,1330,22549.0,29990170.0,33.383,Third-Party Storage,LOT-10821,2025-10-12
2024-06-28,SKU-1025,WH-004,1537,20309.0,31214933.0,44.112,Third-Party Storage,LOT-82627,2024-08-09
2024-06-28,SKU-1026,WH-004,735,11626.0,8545110.0,40.352,Finished Goods,LOT-98622,2025-03-08
2024-06-28,SKU-1027,WH-004,2237,14751.0,32997987.0,109.389,Finished Goods,LOT-62439,2024-08-11
