promo_id,sku,warehouse,promo_start,promo_end,uplift_pct,promo_type
PROMO-001,SKU-1012,WH-006,2024-08-06,2024-08-18,41.5,Bundle
PROMO-002,SKU-1010,WH-004,2024-08-26,2024-09-01,34.1,Bundle
PROMO-003,SKU-1029,WH-003,2024-08-03,2024-08-08,49.3,Display
PROMO-004,SKU-1026,WH-002,2024-07-05,2024-07-13,57.4,Price Off
PROMO-005,SKU-1023,WH-006,2024-07-21,2024-07-31,37.3,Price Off
PROMO-006,SKU-1003,WH-006,2024-08-30,2024-09-04,25.0,Display
PROMO-007,SKU-1023,WH-002,2024-07-17,2024-07-25,11.1,Display
PROMO-008,SKU-1017,WH-001,2024-07-19,2024-07-24,19.1,Flash Sale
PROMO-009,SKU-1027,WH-003,2024-07-17,2024-07-20,35.4,Flash Sale
PROMO-010,SKU-1028,WH-003,2024-08-18,2024-08-31,36.4,Price Off
PROMO-011,SKU-1013,WH-001,2024-09-20,2024-09-26,37.1,Bundle
PROMO-012,SKU-1026,WH-006,2024-09-04,2024-09-13,33.0,Display
PROMO-013,SKU-1026,WH-007,2024-08-15,2024-08-22,10.7,Price Off
PROMO-014,SKU-1022,WH-002,2024-07-20,2024-07-30,43.4,Display
PROMO-015,SKU-1022,WH-005,2024-09-17,2024-09-30,55.0,Bundle
PROMO-016,SKU-1006,WH-003,2024-07-29,2024-08-08,48.1,Price Off
PROMO-017,SKU-1028,WH-002,2024-09-14,2024-09-27,37.7,Price Off
PROMO-018,SKU-1018,WH-001,2024-09-02,2024-09-13,48.4,Price Off
PROMO-019,SKU-1011,WH-007,2024-07-02,2024-07-07,28.7,Flash Sale
PROMO-020,SKU-1025,WH-005,2024-07-22,2024-08-04,39.4,Flash Sale
PROMO-021,SKU-1018,WH-004,2024-09-09,2024-09-20,16.6,Price Off
PROMO-022,SKU-1014,WH-005,2024-07-07,2024-07-19,32.6,Bundle
PROMO-023,SKU-1003,WH-003,2024-09-15,2024-09-23,43.9,Flash Sale
PROMO-024,SKU-1001,WH-005,2024-09-02,2024-09-14,37.1,Bundle
PROMO-025,SKU-1025,WH-004,2024-07-27,2024-08-05,16.0,Bundle
PROMO-026,SKU-1012,WH-003,2024-07-26,2024-08-08,42.6,Bundle
PROMO-027,SKU-1024,WH-003,2024-09-26,2024-09-30,28.2,Display
PROMO-028,SKU-1027,WH-001,2024-08-16,2024-08-23,14.3,Bundle
PROMO-029,SKU-1029,WH-007,2024-07-22,2024-07-25,26.3,Display
PROMO-030,SKU-1023,WH-001,2024-07-22,2024-07-25,20.9,Bundle
PROMO-031,SKU-1027,WH-007,2024-07-13,2024-07-21,49.5,Price Off
PROMO-032,SKU-1005,WH-006,2024-09-15,2024-09-23,19.8,Bundle
PROMO-033,SKU-1022,WH-007,2024-08-21,2024-08-29,19.8,Bundle
PROMO-034,SKU-1024,WH-007,2024-07-18,2024-07-23,50.9,Flash Sale
PROMO-035,SKU-1024,WH-001,2024-07-11,2024-07-20,28.5,Display
PROMO-036,SKU-1023,WH-003,2024-08-30,2024-09-04,32.5,Bundle
PROMO-037,SKU-1003,WH-006,2024-08-30,2024-09-09,51.2,Display
PROMO-038,SKU-1000,WH-004,2024-07-22,2024-07-26,23.3,Display
PROMO-039,SKU-1022,WH-007,2024-07-22,2024-08-02,39.9,Flash Sale
PROMO-040,SKU-1011,WH-001,2024-07-12,2024-07-16,25.1,Bundle
