date,sku,warehouse,sales_qty,demand_qty,sales_value_vnd,is_promotion_day,stockout_flag,month
2024-01-01,SKU-1000,WH-001,296,296,6237312.0,False,False,2024-01
2024-01-01,SKU-1001,WH-001,332,332,9830852.0,False,False,2024-01
2024-01-01,SKU-1002,WH-001,317,317,9911956.0,False,False,2024-01
2024-01-01,SKU-1003,WH-001,409,409,5042152.0,False,False,2024-01
2024-01-01,SKU-1005,WH-001,257,257,2398838.0,False,False,2024-01
2024-01-01,SKU-1006,WH-001,61,61,722118.0,False,False,2024-01
2024-01-01,SKU-1007,WH-001,63,63,481950.0,False,False,2024-01
2024-01-01,SKU-1009,WH-001,422,422,4779150.0,False,False,2024-01
2024-01-01,SKU-1010,WH-001,441,441,3103317.0,False,False,2024-01
2024-01-01,SKU-1011,WH-001,360,360,4231080.0,False,False,2024-01
2024-01-01,SKU-1012,WH-001,313,313,3701851.0,False,False,2024-01
2024-01-01,SKU-1013,WH-001,404,404,11147168.0,False,False,2024-01
2024-01-01,SKU-1014,WH-001,389,389,3517727.0,False,False,2024-01
2024-01-01,SKU-1016,WH-001,277,277,2501864.0,False,False,2024-01
2024-01-01,SKU-1017,WH-001,351,351,8093007.0,False,False,2024-01
2024-01-01,SKU-1018,WH-001,156,156,1635192.0,False,False,2024-01
2024-01-01,SKU-1022,WH-001,134,134,2601878.0,False,False,2024-01
2024-01-01,SKU-1023,WH-001,97,97,1314447.0,False,False,2024-01
2024-01-01,SKU-1024,WH-001,59,59,1330391.0,False,False,2024-01
2024-01-01,SKU-1025,WH-001,462,462,9382758.0,False,False,2024-01
2024-01-01,SKU-1026,WH-001,50,50,581300.0,False,False,2024-01
2024-01-01,SKU-1027,WH-001,376,376,5546376.0,False,False,2024-01
2024-01-01,SKU-1028,WH-001,371,371,4431224.0,False,False,2024-01
2024-01-01,SKU-1029,WH-001,372,372,3220776.0,False,False,2024-01
2024-01-01,SKU-1000,WH-002,320,320,6743040.0,False,False,2024-01
2024-01-01,SKU-1001,WH-002,332,332,9830852.0,False,False,2024-01
2024-01-01,SKU-1002,WH-002,366,366,11444088.0,False,False,2024-01
2024-01-01,SKU-1003,WH-002,169,169,2083432.0,False,False,2024-01
2024-01-01,SKU-1005,WH-002,220,220,2053480.0,False,False,2024-01
2024-01-01,SKU-1006,WH-002,67,67,793146.0,False,False,2024-01
