sku,holding_cost_pct,ordering_cost_vnd,stockout_cost_per_unit_vnd,target_service_level
SKU-1000,0.233,712116.0,13785.0,0.99
SKU-1001,0.16,4357972.0,6557.0,0.973
SKU-1002,0.204,2363954.0,12989.0,0.973
SKU-1003,0.261,2740311.0,13197.0,0.955
SKU-1004,0.255,3895219.0,4231.0,0.988
SKU-1005,0.275,2286335.0,2375.0,0.905
SKU-1006,0.172,4837935.0,9923.0,0.913
SKU-1007,0.184,3246574.0,12895.0,0.897
SKU-1008,0.26,2747829.0,13931.0,0.883
SKU-1009,0.263,2356596.0,10210.0,0.894
SKU-1010,0.299,2867041.0,3870.0,0.893
SKU-1011,0.298,4921679.0,2648.0,0.882
SKU-1012,0.281,4733833.0,6485.0,0.899
SKU-1013,0.256,1741402.0,12232.0,0.979
SKU-1014,0.181,3083705.0,9801.0,0.917
SKU-1015,0.197,2145876.0,5279.0,0.889
SKU-1016,0.203,1099579.0,13666.0,0.905
SKU-1017,0.242,4173743.0,10877.0,0.982
SKU-1018,0.217,4481189.0,8592.0,0.891
SKU-1019,0.203,3759159.0,14964.0,0.981
SKU-1020,0.265,3468640.0,6995.0,0.949
SKU-1021,0.234,2958550.0,6020.0,0.884
SKU-1022,0.226,817926.0,9928.0,0.936
SKU-1023,0.232,2844842.0,4188.0,0.958
SKU-1024,0.266,3865723.0,14128.0,0.982
SKU-1025,0.289,2573500.0,9303.0,0.972
SKU-1026,0.185,4516602.0,6740.0,0.881
SKU-1027,0.279,3855221.0,14726.0,0.953
SKU-1028,0.207,3302306.0,14954.0,0.906
SKU-1029,0.246,3176671.0,7794.0,0.884
