snapshot_date,sku,warehouse,on_hand_units,unit_cost_vnd,inventory_value_vnd,used_cbm,inventory_type,lot_number,expiry_date
2024-06-28,SKU-1000,WH-001,145,21072.0,3055440.0,10.367,Raw Material,LOT-12006,2024-08-28
2024-06-28,SKU-1001,WH-001,411,29611.0,12170121.0,27.619,Raw Material,LOT-50508,2025-10-24
2024-06-28,SKU-1002,WH-001,1995,31268.0,62379660.0,116.907,Third-Party Storage,LOT-96461,2024-09-19
2024-06-28,SKU-1003,WH-001,2333,12328.0,28761224.0,55.525,Finished Goods,LOT-49880,2024-12-11
2024-06-28,SKU-1005,WH-001,361,9334.0,3369574.0,8.159,Finished Goods,LOT-30514,2024-08-03
2024-06-28,SKU-1006,WH-001,836,11838.0,9896568.0,33.022,Raw Material,LOT-28637,2024-08-17
2024-06-28,SKU-1007,WH-001,1056,7650.0,8078400.0,51.216,Finished Goods,LOT-51117,2025-02-15
2024-06-28,SKU-1009,WH-001,1705,11325.0,19309125.0,63.596,Raw Material,LOT-17089,2025-04-24
2024-06-28,SKU-1010,WH-001,1049,7037.0,7381813.0,70.493,Finished Goods,LOT-30096,2024-09-13
2024-06-28,SKU-1011,WH-001,1912,11753.0,22471736.0,103.439,Raw Material,LOT-46693,2024-09-10
2024-06-28,SKU-1012,WH-001,1345,11827.0,15907315.0,72.496,Raw Material,LOT-34638,2025-01-14
2024-06-28,SKU-1013,WH-001,2525,27592.0,69669800.0,96.455,Third-Party Storage,LOT-84341,2024-08-07
2024-06-28,SKU-1014,WH-001,2866,9043.0,25917238.0,204.059,Finished Goods,LOT-27314,2026-03-17
2024-06-28,SKU-1016,WH-001,1860,9032.0,16799520.0,127.968,Third-Party Storage,LOT-19681,2024-11-19
2024-06-28,SKU-1017,WH-001,2173,23057.0,50102861.0,103.652,Finished Goods,LOT-83991,2025-05-04
2024-06-28,SKU-1018,WH-001,245,10482.0,2568090.0,11.466,Finished Goods,LOT-73465,2024-09-16
2024-06-28,SKU-1022,WH-001,2805,19417.0,54464685.0,107.712,Third-Party Storage,LOT-94706,2024-11-10
2024-06-28,SKU-1023,WH-001,2496,13551.0,33823296.0,157.747,Raw Material,LOT-43470,2024-11-10
2024-06-28,SKU-1024,WH-001,737,22549.0,16618613.0,18.499,Third-Party Storage,LOT-92285,2025-10-22
