sku,supplier_id,lead_time_days,lead_time_std_days,transit_days,review_period_days
SKU-1000,SUP-003,16,0.7,3,14
SKU-1001,SUP-001,5,2.9,2,7
SKU-1002,SUP-004,9,2.4,1,7
SKU-1002,SUP-003,19,0.8,1,30
SKU-1003,SUP-003,16,1.6,3,30
SKU-1003,SUP-002,19,2.0,4,7
SKU-1004,SUP-001,18,3.0,1,14
SKU-1005,SUP-004,11,0.5,3,14
SKU-1005,SUP-003,19,1.8,4,14
SKU-1006,SUP-003,8,2.6,1,7
SKU-1007,SUP-001,14,1.9,3,30
SKU-1008,SUP-002,3,2.7,1,30
SKU-1008,SUP-001,6,0.8,3,30
SKU-1009,SUP-002,4,0.6,4,7
SKU-1010,SUP-001,10,0.8,1,7
SKU-1010,SUP-003,14,1.2,4,14
SKU-1011,SUP-003,20,0.8,3,7
SKU-1011,SUP-002,3,1.5,3,30
SKU-1012,SUP-004,5,1.9,2,7
SKU-1013,SUP-003,3,1.9,1,30
SKU-1013,SUP-004,13,1.5,3,7
SKU-1014,SUP-003,12,0.7,1,30
SKU-1014,SUP-002,18,1.1,1,7
SKU-1015,SUP-002,18,2.0,1,14
SKU-1015,SUP-001,16,2.8,3,14
SKU-1016,SUP-003,6,1.8,1,14
SKU-1017,SUP-001,3,1.8,4,14
SKU-1017,SUP-002,3,0.9,1,7
SKU-1018,SUP-002,6,1.0,4,7
SKU-1019,SUP-002,19,1.9,4,30
SKU-1020,SUP-004,16,1.1,1,30
SKU-1020,SUP-001,5,1.8,2,30
SKU-1021,SUP-001,6,1.3,4,30
SKU-1022,SUP-001,12,2.0,3,14
SKU-1022,SUP-002,18,2.6,3,14
SKU-1023,SUP-002,8,1.2,4,14
SKU-1024,SUP-001,12,1.1,3,14
SKU-1024,SUP-004,4,2.4,1,30
SKU-1025,SUP-002,4,2.5,2,7
SKU-1026,SUP-004,12,2.3,2,30
SKU-1027,SUP-004,15,2.2,3,14
SKU-1027,SUP-002,10,0.7,1,14
SKU-1028,SUP-004,6,1.3,1,14
SKU-1028,SUP-002,6,0.9,2,14
SKU-1029,SUP-001,19,0.6,1,7
SKU-1029,SUP-003,11,2.0,1,30
