sku,sku_group,inventory_type,unit_cost_vnd,volume_cbm_per_unit,weight_kg,shelf_life_days,abc_class,is_active
SKU-1000,Group A,Raw Material,21072.0,0.0715,17.74,90,A,True
SKU-1001,Group C,Raw Material,29611.0,0.0672,4.07,730,A,True
SKU-1002,Group C,Third-Party Storage,31268.0,0.0586,20.75,365,A,True
SKU-1003,Group B,Finished Goods,12328.0,0.0238,20.86,180,B,True
SKU-1004,Group A,Raw Material,20482.0,0.0782,22.43,365,A,False
SKU-1005,Group D,Finished Goods,9334.0,0.0226,4.7,365,C,True
SKU-1006,Group D,Raw Material,11838.0,0.0395,9.89,90,C,True
SKU-1007,Group D,Finished Goods,7650.0,0.0485,6.45,365,C,True
SKU-1008,Group D,Third-Party Storage,11163.0,0.062,8.5,730,C,False
SKU-1009,Group B,Raw Material,11325.0,0.0373,17.38,365,C,True
SKU-1010,Group D,Finished Goods,7037.0,0.0672,16.96,180,C,True
SKU-1011,Group B,Raw Material,11753.0,0.0541,4.36,90,C,True
SKU-1012,Group B,Raw Material,11827.0,0.0539,19.36,365,C,True
SKU-1013,Group C,Third-Party Storage,27592.0,0.0382,1.74,180,A,True
SKU-1014,Group D,Finished Goods,9043.0,0.0712,6.61,730,C,True
SKU-1015,Group D,Finished Goods,8468.0,0.0597,14.37,365,C,False
SKU-1016,Group D,Third-Party Storage,9032.0,0.0688,5.01,180,C,True
SKU-1017,Group A,Finished Goods,23057.0,0.0477,4.87,730,A,True
SKU-1018,Group D,Finished Goods,10482.0,0.0468,10.14,90,C,True
SKU-1019,Group C,Third-Party Storage,25618.0,0.0253,3.83,180,A,False
SKU-1020,Group B,Raw Material,13198.0,0.036,24.26,180,B,False
SKU-1021,Group B,Raw Material,11696.0,0.0363,3.31,180,C,False
SKU-1022,Group A,Third-Party Storage,19417.0,0.0384,14.9,365,B,True
SKU-1023,Group B,Raw Material,13551.0,0.0632,11.37,180,B,True
SKU-1024,Group A,Third-Party Storage,22549.0,0.0251,10.98,730,A,True
SKU-1025,Group A,Third-Party Storage,20309.0,0.0287,3.48,90,A,True
SKU-1026,Group D,Finished Goods,11626.0,0.0549,9.32,365,C,True
SKU-1027,Group B,Finished Goods,14751.0,0.0489,19.79,90,B,True
SKU-1028,Group B,Third-Party Storage,11944.0,0.0763,14.72,365,C,True
SKU-1029,Group D,Finished Goods,8658.0,0.0512,11.53,180,C,True
