sku,warehouse,mape,rmse,mae,bias,forecast_accuracy,n_test_days,model
SKU-1000,WH-001,27.44,92.06,77.35,-17.13,0.7256,30,moving_average
SKU-1000,WH-002,28.27,90.95,77.84,13.07,0.7173,30,moving_average
SKU-1000,WH-003,27.13,101.49,75.7,-15.63,0.7287,30,moving_average
SKU-1000,WH-004,23.87,84.75,71.89,-15.37,0.7613,30,moving_average
SKU-1000,WH-005,30.44,104.41,86.48,-12.2,0.6956,30,moving_average
SKU-1000,WH-006,17.53,72.19,56.89,-29.5,0.8247,30,moving_average
SKU-1000,WH-007,28.76,89.01,77.87,4.8,0.7124,30,moving_average
SKU-1001,WH-001,29.41,115.7,102.63,0.67,0.7059,30,moving_average
SKU-1001,WH-002,28.77,127.9,103.95,15.83,0.7123,30,moving_average
SKU-1001,WH-003,27.4,151.43,115.44,-29.13,0.726,30,moving_average
SKU-1001,WH-004,23.93,114.87,100.47,-23.4,0.7607,30,moving_average
SKU-1001,WH-005,30.73,133.31,119.62,-6.37,0.6927,30,moving_average
SKU-1001,WH-006,19.69,101.29,87.01,-51.93,0.8031,30,moving_average
SKU-1001,WH-007,26.14,118.84,99.1,2.43,0.7386,30,moving_average
SKU-1002,WH-001,33.41,130.56,112.77,-6.53,0.6659,30,moving_average
SKU-1002,WH-002,30.34,149.62,113.6,17.47,0.6966,30,moving_average
SKU-1002,WH-003,39.03,175.97,137.91,-20.63,0.6097,30,moving_average
SKU-1002,WH-004,23.52,148.71,103.0,-43.4,0.7648,30,moving_average
SKU-1002,WH-005,30.6,155.37,114.01,-16.33,0.694,30,moving_average
SKU-1002,WH-006,25.03,116.33,95.67,-25.07,0.7497,30,moving_average
SKU-1002,WH-007,35.96,135.78,113.97,14.7,0.6404,30,moving_average
SKU-1003,WH-001,38.62,137.12,115.07,-18.6,0.6138,30,moving_average
SKU-1003,WH-002,35.59,151.89,120.35,0.07,0.6441,30,moving_average
SKU-1003,WH-003,31.01,173.07,122.54,-33.1,0.6899,30,moving_average
SKU-1003,WH-004,26.78,143.36,109.43,-34.3,0.7322,30,moving_average
SKU-1003,WH-005,33.01,166.19,118.4,-32.4,0.6699,30,moving_average
SKU-1003,WH-006,18.34,92.81,73.35,-37.43,0.8166,30,moving_average
SKU-1003,WH-007,30.84,120.37,103.28,-23.47,0.6916,30,moving_average
SKU-1005,WH-001,29.33,116.88,103.23,-35.07,0.7067,30,moving_average
SKU-1005,WH-002,28.8,116.65,98.01,4.83,0.712,30,moving_average
SKU-1005,WH-003,26.03,118.76,95.36,-28.93,0.7397,30,moving_average
SKU-1005,WH-004,25.2,122.82,106.67,-61.73,0.748,30,moving_average
SKU-1005,WH-005,30.35,125.01,107.82,-24.13,0.6965,30,moving_average
SKU-1005,WH-006,20.1,90.86,78.6,-45.8,0.799,30,moving_average
SKU-1005,WH-007,25.5,107.1,93.96,-21.4,0.745,30,moving_average
