sku,warehouse,best_model,best_mape,best_forecast_accuracy
SKU-1000,WH-001,moving_average,27.44,0.7256
SKU-1000,WH-002,moving_average,28.27,0.7173
SKU-1000,WH-003,exponential_smoothing,27.0,0.73
SKU-1000,WH-004,moving_average,23.87,0.7613
SKU-1000,WH-005,moving_average,30.44,0.6956
SKU-1000,WH-006,moving_average,17.53,0.8247
SKU-1000,WH-007,moving_average,28.76,0.7124
SKU-1001,WH-001,xgboost,26.93,0.7307
SKU-1001,WH-002,moving_average,28.77,0.7123
SKU-1001,WH-003,moving_average,27.4,0.726
SKU-1001,WH-004,moving_average,23.93,0.7607
SKU-1001,WH-005,xgboost,29.56,0.7044
SKU-1001,WH-006,moving_average,19.69,0.8031
SKU-1001,WH-007,moving_average,26.14,0.7386
SKU-1002,WH-001,moving_average,33.41,0.6659
SKU-1002,WH-002,moving_average,30.34,0.6966
SKU-1002,WH-003,xgboost,36.18,0.6382
SKU-1002,WH-004,xgboost,20.8,0.792
SKU-1002,WH-005,xgboost,28.58,0.7142
SKU-1002,WH-006,exponential_smoothing,24.1,0.759
SKU-1002,WH-007,moving_average,35.96,0.6404
SKU-1003,WH-001,moving_average,38.62,0.6138
SKU-1003,WH-002,moving_average,35.59,0.6441
SKU-1003,WH-003,exponential_smoothing,30.97,0.6903
SKU-1003,WH-004,moving_average,26.78,0.7322
SKU-1003,WH-005,xgboost,31.45,0.6855
SKU-1003,WH-006,exponential_smoothing,17.73,0.8227
SKU-1003,WH-007,xgboost,29.2,0.708
SKU-1005,WH-001,moving_average,29.33,0.7067
SKU-1005,WH-002,moving_average,28.8,0.712
SKU-1005,WH-003,moving_average,26.03,0.7397
SKU-1005,WH-004,xgboost,24.66,0.7534
SKU-1005,WH-005,moving_average,30.35,0.6965
SKU-1005,WH-006,exponential_smoothing,18.24,0.8176
SKU-1005,WH-007,moving_average,25.5,0.745
SKU-1006,WH-001,exponential_smoothing,44.79,0.5521
SKU-1006,WH-002,exponential_smoothing,42.59,0.5741
SKU-1006,WH-003,exponential_smoothing,35.95,0.6405
SKU-1006,WH-004,xgboost,50.3,0.497
SKU-1006,WH-005,exponential_smoothing,34.66,0.6534
SKU-1006,WH-006,exponential_smoothing,35.02,0.6498
SKU-1006,WH-007,exponential_smoothing,37.06,0.6294
SKU-1007,WH-001,moving_average,65.23,0.3477
SKU-1007,WH-002,moving_average,119.89,0.0
SKU-1007,WH-003,moving_average,43.61,0.5639
SKU-1007,WH-004,exponential_smoothing,45.02,0.5498
SKU-1007,WH-005,moving_average,53.84,0.4616
SKU-1007,WH-006,xgboost,55.68,0.4432
SKU-1007,WH-007,moving_average,51.25,0.4875
SKU-1009,WH-001,xgboost,27.27,0.7273
SKU-1009,WH-002,exponential_smoothing,37.35,0.6265
SKU-1009,WH-003,exponential_smoothing,25.27,0.7473
SKU-1009,WH-004,moving_average,26.88,0.7312
SKU-1009,WH-005,xgboost,29.65,0.7035
SKU-1009,WH-006,moving_average,18.1,0.819
SKU-1009,WH-007,moving_average,28.87,0.7113
SKU-1010,WH-001,moving_average,39.16,0.6084
SKU-1010,WH-002,exponential_smoothing,32.52,0.6748
SKU-1010,WH-003,exponential_smoothing,23.02,0.7698
SKU-1010,WH-004,moving_average,27.08,0.7292
SKU-1010,WH-005,moving_average,31.54,0.6846
SKU-1010,WH-006,moving_average,20.8,0.792
SKU-1010,WH-007,exponential_smoothing,27.51,0.7249
SKU-1011,WH-001,moving_average,33.33,0.6667
SKU-1011,WH-002,moving_average,30.06,0.6994
SKU-1011,WH-003,xgboost,27.89,0.7211
SKU-1011,WH-004,moving_average,25.18,0.7482
SKU-1011,WH-005,moving_average,30.1,0.699
SKU-1011,WH-006,moving_average,21.15,0.7885
SKU-1011,WH-007,moving_average,28.52,0.7148
SKU-1012,WH-001,xgboost,31.02,0.6898
SKU-1012,WH-002,moving_average,32.06,0.6794
SKU-1012,WH-003,moving_average,29.53,0.7047
SKU-1012,WH-004,moving_average,29.07,0.7093
SKU-1012,WH-005,moving_average,30.5,0.695
SKU-1012,WH-006,exponential_smoothing,21.46,0.7854
SKU-1012,WH-007,moving_average,29.74,0.7026
SKU-1013,WH-001,xgboost,29.97,0.7003
SKU-1013,WH-002,exponential_smoothing,33.62,0.6638
SKU-1013,WH-003,exponential_smoothing,27.66,0.7234
SKU-1013,WH-004,moving_average,24.51,0.7549
SKU-1013,WH-005,xgboost,28.43,0.7157
SKU-1013,WH-006,moving_average,18.03,0.8197
SKU-1013,WH-007,moving_average,25.48,0.7452
SKU-1014,WH-001,xgboost,30.15,0.6985
SKU-1014,WH-002,exponential_smoothing,35.08,0.6492
SKU-1014,WH-003,exponential_smoothing,27.81,0.7219
SKU-1014,WH-004,xgboost,25.56,0.7444
SKU-1014,WH-005,xgboost,29.75,0.7025
SKU-1014,WH-006,moving_average,21.15,0.7885
SKU-1014,WH-007,moving_average,26.38,0.7362
SKU-1016,WH-001,moving_average,30.12,0.6988
SKU-1016,WH-002,moving_average,30.93,0.6907
SKU-1016,WH-003,xgboost,25.08,0.7492
SKU-1016,WH-004,moving_average,27.36,0.7264
SKU-1016,WH-005,moving_average,28.93,0.7107
SKU-1016,WH-006,exponential_smoothing,20.22,0.7978
SKU-1016,WH-007,moving_average,20.98,0.7902
SKU-1017,WH-001,moving_average,29.93,0.7007
SKU-1017,WH-002,moving_average,30.19,0.6981
SKU-1017,WH-003,exponential_smoothing,28.83,0.7117
SKU-1017,WH-004,moving_average,27.51,0.7249
SKU-1017,WH-005,moving_average,30.84,0.6916
SKU-1017,WH-006,moving_average,18.91,0.8109
SKU-1017,WH-007,moving_average,26.66,0.7334
SKU-1018,WH-001,moving_average,67.0,0.33
SKU-1018,WH-002,xgboost,91.92,0.0808
SKU-1018,WH-003,exponential_smoothing,109.76,0.0
SKU-1018,WH-004,moving_average,49.26,0.5074
SKU-1018,WH-005,xgboost,83.17,0.1683
SKU-1018,WH-006,exponential_smoothing,71.23,0.2877
SKU-1018,WH-007,moving_average,43.85,0.5615
SKU-1022,WH-001,xgboost,31.58,0.6842
SKU-1022,WH-002,exponential_smoothing,43.99,0.5601
SKU-1022,WH-003,exponential_smoothing,39.69,0.6031
SKU-1022,WH-004,moving_average,26.97,0.7303
SKU-1022,WH-005,moving_average,35.72,0.6428
SKU-1022,WH-006,moving_average,26.05,0.7395
SKU-1022,WH-007,xgboost,41.1,0.589
SKU-1023,WH-001,xgboost,31.91,0.6809
SKU-1023,WH-002,exponential_smoothing,25.99,0.7401
SKU-1023,WH-003,exponential_smoothing,24.61,0.7539
SKU-1023,WH-004,moving_average,22.76,0.7724
SKU-1023,WH-005,moving_average,29.92,0.7008
SKU-1023,WH-006,moving_average,22.88,0.7712
SKU-1023,WH-007,xgboost,26.32,0.7368
SKU-1024,WH-001,xgboost,29.16,0.7084
SKU-1024,WH-002,exponential_smoothing,26.53,0.7347
