sku,warehouse,abc_class,target_service_level,z_score,demand_avg,demand_std,demand_cv,lead_time_avg,lead_time_std,review_period_days,safety_stock,reorder_point,eoq,max_stock,on_hand_units,inventory_value_vnd,dos,stockout_risk,replenishment_needed,policy_status
SKU-1000,WH-001,A,0.99,2.326,285.8,102.9,0.36,16,0.7,14,1065.0,5637.0,5501.0,11138.0,145,3055440.0,0.5,1.0,True,CRITICAL
SKU-1000,WH-002,A,0.99,2.326,308.4,107.6,0.349,16,0.7,14,1120.0,6054.0,5714.0,11768.0,214,4509408.0,0.7,1.0,True,CRITICAL
SKU-1000,WH-003,A,0.99,2.326,303.1,115.2,0.38,16,0.7,14,1180.0,6030.0,5665.0,11695.0,1227,25855344.0,4.0,1.0,True,REORDER
SKU-1000,WH-004,A,0.99,2.326,290.6,102.6,0.353,16,0.7,14,1066.0,5715.0,5547.0,11262.0,564,11884608.0,1.9,1.0,True,CRITICAL
SKU-1000,WH-005,A,0.99,2.326,293.8,109.7,0.373,16,0.7,14,1127.0,5828.0,5577.0,11405.0,2106,44377632.0,7.2,1.0,True,REORDER
SKU-1000,WH-006,A,0.99,2.326,309.6,113.6,0.367,16,0.7,14,1171.0,6125.0,5725.0,11850.0,1330,28025760.0,4.3,1.0,True,REORDER
SKU-1000,WH-007,A,0.99,2.326,309.3,120.0,0.388,16,0.7,14,1225.0,6174.0,5722.0,11896.0,1760,37086720.0,5.7,1.0,True,REORDER
SKU-1001,WH-001,A,0.973,1.927,393.6,140.3,0.357,5,2.9,7,2281.0,4249.0,16258.0,20507.0,411,12170121.0,1.0,1.0,True,CRITICAL
SKU-1001,WH-002,A,0.973,1.927,423.4,154.4,0.365,5,2.9,7,2458.0,4575.0,16862.0,21436.0,546,16167606.0,1.3,1.0,True,CRITICAL
SKU-1001,WH-003,A,0.973,1.927,415.4,159.7,0.384,5,2.9,7,2421.0,4498.0,16702.0,21200.0,1105,32720155.0,2.7,1.0,True,CRITICAL
SKU-1001,WH-004,A,0.973,1.927,402.9,135.1,0.335,5,2.9,7,2325.0,4340.0,16448.0,20787.0,1107,32779377.0,2.7,1.0,True,CRITICAL
SKU-1001,WH-005,A,0.973,1.927,405.3,148.1,0.365,5,2.9,7,2353.0,4379.0,16497.0,20877.0,1790,53003690.0,4.4,1.0,True,CRITICAL
SKU-1001,WH-006,A,0.973,1.927,421.6,143.7,0.341,5,2.9,7,2436.0,4544.0,16826.0,21371.0,1930,57149230.0,4.6,1.0,True,CRITICAL
SKU-1001,WH-007,A,0.973,1.927,415.5,153.5,0.369,5,2.9,7,2414.0,4491.0,16702.0,21194.0,1834,54306574.0,4.4,1.0,True,CRITICAL
SKU-1002,WH-001,A,0.973,1.927,375.3,144.2,0.384,9,2.4,7,1925.0,5303.0,10077.0,15380.0,1995,62379660.0,5.3,1.0,True,REORDER
SKU-1002,WH-002,A,0.973,1.927,404.3,160.2,0.396,9,2.4,7,2087.0,5726.0,10459.0,16185.0,975,30486300.0,2.4,1.0,True,CRITICAL
SKU-1002,WH-003,A,0.973,1.927,394.1,163.4,0.415,9,2.4,7,2053.0,5600.0,10326.0,15925.0,1945,60816260.0,4.9,1.0,True,CRITICAL
SKU-1002,WH-004,A,0.973,1.927,385.8,147.9,0.383,9,2.4,7,1978.0,5451.0,10217.0,15668.0,312,9755616.0,0.8,1.0,True,CRITICAL
SKU-1002,WH-005,A,0.973,1.927,382.3,143.7,0.376,9,2.4,7,1954.0,5394.0,10170.0,15565.0,2563,80139884.0,6.7,1.0,True,REORDER
SKU-1002,WH-006,A,0.973,1.927,405.4,152.8,0.377,9,2.4,7,2072.0,5721.0,10472.0,16193.0,2440,76293920.0,6.0,1.0,True,REORDER
SKU-1002,WH-007,A,0.973,1.927,403.4,164.0,0.407,9,2.4,7,2092.0,5722.0,10446.0,16169.0,301,9411668.0,0.7,1.0,True,CRITICAL
SKU-1003,WH-001,B,0.955,1.695,338.0,139.9,0.414,16,1.6,30,1320.0,6727.0,14496.0,21223.0,2333,28761224.0,6.9,1.0,True,REORDER
