order_id,sku,warehouse,supplier_id,abc_class,policy_status,on_hand_units,reorder_point,safety_stock,max_stock,demand_avg,demand_during_lt,replenishment_qty,adjusted_qty,moq,order_date,expected_arrival,lead_time_days,cbm_required,capacity_available_cbm,capacity_ok,order_value_vnd,stockout_risk,dos_before_order
ORD-0001,SKU-1000,WH-001,SUP-003,A,CRITICAL,145,5637,1065,11138,285.8,4802.0,10993,11160,620,2024-06-29,2024-07-15,16,797.94,6534.4,True,235163520.0,1.0,0.5
ORD-0002,SKU-1000,WH-003,SUP-003,A,CRITICAL,947,6030,1180,11695,303.1,4778.0,10748,11160,620,2024-06-29,2024-07-15,16,797.94,3698.26,True,235163520.0,1.0,3.1
ORD-0003,SKU-1001,WH-001,SUP-001,A,CRITICAL,1405,4249,2281,20507,393.6,1782.0,19102,20020,2002,2024-06-29,2024-07-04,5,1345.34,5736.46,True,592812220.0,1.0,3.6
ORD-0004,SKU-1001,WH-002,SUP-001,A,CRITICAL,601,4575,2458,21436,423.4,2074.0,20835,22022,2002,2024-06-29,2024-07-04,5,1479.88,1871.72,True,652093442.0,1.0,1.4
ORD-0005,SKU-1001,WH-003,SUP-001,A,CRITICAL,1862,4498,2421,21200,415.4,2154.0,19338,20020,2002,2024-06-29,2024-07-04,5,1345.34,2900.32,True,592812220.0,1.0,4.5
ORD-0006,SKU-1001,WH-004,SUP-001,A,CRITICAL,397,4340,2325,20787,402.9,2391.0,20390,22022,2002,2024-06-29,2024-07-04,5,1479.88,3138.77,True,652093442.0,1.0,1.0
ORD-0007,SKU-1001,WH-006,SUP-001,A,CRITICAL,2381,4544,2436,21371,421.6,2266.0,18990,20020,2002,2024-06-29,2024-07-04,5,1345.34,3916.28,True,592812220.0,1.0,5.6
ORD-0008,SKU-1002,WH-001,SUP-004,A,CRITICAL,566,5303,1925,15380,375.3,3472.0,14814,14931,2133,2024-06-29,2024-07-08,9,874.96,4391.12,True,466862508.0,1.0,1.5
ORD-0009,SKU-1002,WH-003,SUP-004,A,CRITICAL,429,5600,2053,15925,394.1,4012.0,15496,17064,2133,2024-06-29,2024-07-08,9,999.95,1554.97,True,533557152.0,1.0,1.1
ORD-0010,SKU-1002,WH-005,SUP-004,A,CRITICAL,1594,5394,1954,15565,382.3,3800.0,13971,14931,2133,2024-06-29,2024-07-08,9,874.96,1584.72,True,466862508.0,1.0,4.2
ORD-0011,SKU-1002,WH-007,SUP-004,A,CRITICAL,1046,5722,2092,16169,403.4,3538.0,15123,17064,2133,2024-06-29,2024-07-08,9,999.95,3952.01,True,533557152.0,1.0,2.6
